init_state,Value
x x xo  o,1
xox xo  o,1
ox   x   ,-1
ox o x   ,1
o oxx  ox,1
    x  o ,1
    x xo ,1
 oxx  xo ,-1
 oxx  xoo,1
oxxx  o  ,-1
oxxxo o  ,0
xxo x   o,-1
xxo x  oo,-1
  xo o x ,1
x xo o x ,-1
xx o xoxo,1
xxoo xoxo,1
   o x ox,1
  xo x ox,1
   o  xx ,1
 o o  xx ,1
oox xx   ,1
oox xxo  ,1
o  x  ox ,1
o  xx ox ,1
   o x   ,0
  xo x   ,0
 x   ooxx,-1
ox   ooxx,1
o xx   ox,0
o xxo  ox,1
oxxxo  o ,0
oxxxox o ,-1
  x ox  o,0
  x ox xo,-1
xo  x x o,1
xo  x xoo,1
 o  x xxo,-1
 o ox xxo,1
x ox xoo ,1
xxox xoo ,-1
 ox  x o ,1
 ox xx o ,1
o x    x ,0
o x    xo,1
 ooxx  x ,-1
oooxx  x ,-1
 xx o xo ,0
 xx ooxo ,1
oxx  xo  ,-1
oxx  xoo ,1
  x ooxox,-1
x x ooxox,-1
   xo x o,1
   xo xxo,-1
 x oxx oo,0
 xxoxx oo,-1
x o oxx o,1
x oxoxx o,1
oox xo xx,0
oox xooxx,0
 xxoxo o ,1
 xxoxo ox,1
o xx  oxo,1
o xx xoxo,-1
x o  x   ,0
x o  x o ,1
x o    ox,1
xxo    ox,0
x o  xo x,-1
x o  xoox,1
 x   xoo ,1
 x  xxoo ,-1
xoxxxoo  ,0
xoxxxoo o,0
oxx  xxoo,-1
oxx oxxoo,-1
   xoo xx,0
  oxoo xx,1
ox   xo x,-1
ox  oxo x,1
xoxox ox ,0
xoxoxoox ,1
xo xo   x,-1
xo xo o x,-1
 oo xx   ,1
 ooxxx   ,1
xxxoxoxoo,1
xx ooxx o,0
xxoooxx o,0
   oxxo x,-1
 o oxxo x,1
o  x   x ,-1
o  x   xo,1
   x xoxo,-1
 o x xoxo,1
  o   xxo,-1
  o  xxxo,-1
  oo   xx,1
 xoo   xx,1
 ox  xo  ,1
xox  xo  ,0
 xx xo  o,1
 o  xxo x,1
oo  xxo x,1
 ooxx x  ,-1
 ooxxox  ,1
 oxxx  o ,1
o xxoo x ,0
o xxooxx ,-1
xx  ooo x,1
xx xooo x,-1
o xxo   x,0
o xxoo  x,0
